distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,load_imbalance
1D,1,0,0.0,0,0.0
1D,2,10000,10000.0,10000,1.0
1D,4,30000,30000.0,30000,1.0
1D,8,69858,69858.0,69858,1.0
1D,16,143445,143445.0,143445,1.0
1D,32,245121,245121.0,245121,1.0
1D,64,341628,341628.0,341628,1.0
1D,128,410664,410664.0,410664,1.0
2D,2,5000,5000.0,5000,1.0
2D,4,10000,10000.0,10000,1.0
2D,8,15000,15000.0,15000,1.0
2D,16,30000,30000.0,30000,1.0
2D,32,35000,35000.0,35000,1.0
2D,64,69840,69840.0,69840,1.0
2D,128,74856,74856.0,74856,1.0
2D_cyclic,2,5000,5000.0,5000,1.0
2D_cyclic,4,10000,10000.0,10000,1.0
2D_cyclic,8,15000,15000.0,15000,1.0
2D_cyclic,16,30000,30000.0,30000,1.0
2D_cyclic,32,35000,35000.0,35000,1.0
2D_cyclic,64,69880,69880.0,69880,1.0
2D_cyclic,128,74853,74853.0,74853,1.0
